Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"2.031.102,44",,"Friesland Campina Germany GmbH – 50739 Köln, Stadt",/karten/agrarsubventionen_2021-empfaengerdfe724292bb14eba0d146c22ceac5c9d.html,"Köln, Kreisfreie Stadt","/karten/köln,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_5315.html",Nordrhein-Westfalen,/karten/nordrhein-westfalen-agrarsubventionen_2021-bundesland_0376b90efccf6a11e5c2ab073c62b120.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerdfe724292bb14eba0d146c22ceac5c9d.html,"2.031.102,44 €"
"2.024.805,27",,"NABU Deutschland e.V. – 10117 Berlin, Stadt",/karten/agrarsubventionen_2021-empfaengerc6b1136aa93e87574cd66610c9f3d4db.html,Berlin,/karten/berlin-agrarsubventionen_2021-landkreis_11000.html,Berlin,/karten/berlin-agrarsubventionen_2021-bundesland_ee1611b61f5688e70c12b40684dbb395.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerc6b1136aa93e87574cd66610c9f3d4db.html,"2.024.805,27 €"
"2.009.528,71",,Stiftung Naturschutz Schleswig-Holstein – 24113 Molfsee,/karten/agrarsubventionen_2021-empfaengeredbaa75026e78002715e4a9c60e14943.html,"Rendsburg-Eckernförde, Landkreis","/karten/rendsburg-eckernförde,_landkreis-agrarsubventionen_2021-landkreis_1058.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengeredbaa75026e78002715e4a9c60e14943.html,"289.251,11 €"
"1.995.168,78",,Deutsches Weininstitut Gesellschaft mit beschränkter Haftung – 55294 Bodenheim,/karten/agrarsubventionen_2021-empfaenger7b85f9628953ed23e53e54a592738e9a.html,"Mainz-Bingen, Landkreis","/karten/mainz-bingen,_landkreis-agrarsubventionen_2021-landkreis_7339.html",Rheinland-Pfalz,/karten/rheinland-pfalz-agrarsubventionen_2021-bundesland_1e48bdafa9f37c0c2195f630131a1aec.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7b85f9628953ed23e53e54a592738e9a.html,"1.995.168,78 €"
"1.989.999,72",,"Stadt Oranienburg – 16515 Oranienburg, Stadt",/karten/agrarsubventionen_2021-empfaenger75fee5d9cdaaffdaacf179d43f3f7ecd.html,"Oberhavel, Landkreis","/karten/oberhavel,_landkreis-agrarsubventionen_2021-landkreis_12065.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger75fee5d9cdaaffdaacf179d43f3f7ecd.html,"1.989.999,72 €"
"1.965.781,53",,VNP Stiftung Naturschutzpark Lüneburger Heide – 29646 Bispingen,/karten/agrarsubventionen_2021-empfaenger90305e25ec2b1a03502fcf4ce77cfb1a.html,"Heidekreis, Landkreis","/karten/heidekreis,_landkreis-agrarsubventionen_2021-landkreis_3358.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger90305e25ec2b1a03502fcf4ce77cfb1a.html,"756.272,69 €"
"1.918.540,15",,Unterhaltungsverband Nr. 82 Geeste – 27616 Beverstedt,/karten/agrarsubventionen_2021-empfaenger4d441aafcfab83f4d0148177dd67bd1a.html,"Cuxhaven, Landkreis","/karten/cuxhaven,_landkreis-agrarsubventionen_2021-landkreis_3352.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4d441aafcfab83f4d0148177dd67bd1a.html,"1.918.540,15 €"
"1.890.750,00",,"Stadt Glücksburg – 24960 Glücksburg (Ostsee), Stadt",/karten/agrarsubventionen_2021-empfaenger308addfd3d341b74cdbf314837c41fee.html,"Schleswig-Flensburg, Landkreis","/karten/schleswig-flensburg,_landkreis-agrarsubventionen_2021-landkreis_1059.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger308addfd3d341b74cdbf314837c41fee.html,"1.890.750,00 €"
"1.857.669,44",,"Der Senator für Wirtschaft, Arbeit und Häfen – 28195 Bremen, Stadt",/karten/agrarsubventionen_2021-empfaenger70441fe38e3ff1c348280b5da374d024.html,"Bremen, Kreisfreie Stadt","/karten/bremen,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_4011.html",Bremen,/karten/bremen-agrarsubventionen_2021-bundesland_92c1f80a07ad537ddb7e00137d6a25f9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger70441fe38e3ff1c348280b5da374d024.html,"1.857.669,44 €"
"1.854.322,64",,"Agrarprodukte Ludwigshof eG – 07389 Ranis, Stadt",/karten/agrarsubventionen_2021-empfaenger6929cd6c375957fa03700b443f338092.html,Saale-Orla-Kreis,/karten/saale-orla-kreis-agrarsubventionen_2021-landkreis_16075.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger6929cd6c375957fa03700b443f338092.html,"670.717,34 €"
