Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"740.581,87",,"Liebenauer Agrar GmbH vertreten durch den Geschaeftsfuehrer – 01778 Altenberg, Stadt",/karten/agrarsubventionen_2021-empfaenger7156d09e026df1ceb9edd07ec5b6f263.html,"Sächsische Schweiz-Osterzgebirge, Landkreis","/karten/sächsische_schweiz-osterzgebirge,_landkreis-agrarsubventionen_2021-landkreis_14628.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7156d09e026df1ceb9edd07ec5b6f263.html,"312.055,95 €"
"738.457,64",,"Gartenbauzentrale – 89423 Gundelfingen a.d.Donau, St",/karten/agrarsubventionen_2021-empfaenger884709850a8f16945783f771825b30e4.html,"Dillingen a.d.Donau, Landkreis","/karten/dillingen_a.d.donau,_landkreis-agrarsubventionen_2021-landkreis_9773.html",Bayern,/karten/bayern-agrarsubventionen_2021-bundesland_51150b7b6309d23b7d292c0be9fd3f21.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger884709850a8f16945783f771825b30e4.html,
"737.241,10",,Wartburgland-Agrargenossenschaft eG – 99834 Gerstungen,/karten/agrarsubventionen_2021-empfaenger29b0056b679ced267df290fbb651a4ac.html,Wartburgkreis,/karten/wartburgkreis-agrarsubventionen_2021-landkreis_16063.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger29b0056b679ced267df290fbb651a4ac.html,"366.011,46 €"
"736.455,68",,APEX-Bäuerliche Aktiengesellschaft – 99755 Hohenstein,/karten/agrarsubventionen_2021-empfaenger3a4a5f90764dd914bbb92a2055820545.html,"Nordhausen, Kreis","/karten/nordhausen,_kreis-agrarsubventionen_2021-landkreis_16062.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger3a4a5f90764dd914bbb92a2055820545.html,"485.903,54 €"
"736.321,96",,Agrarhof Gospersgruen e.G. vertreten durch den Vorstand – 08427 Fraureuth,/karten/agrarsubventionen_2021-empfaengerc8f0e809273abee0a3ecd2d0f12c15d4.html,"Zwickau, Landkreis","/karten/zwickau,_landkreis-agrarsubventionen_2021-landkreis_14524.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerc8f0e809273abee0a3ecd2d0f12c15d4.html,"417.833,66 €"
"733.896,23",,Agrargenossenschaft Mülverstedt eG – 99947 Schönstedt,/karten/agrarsubventionen_2021-empfaengera8432eadedbff07a88eb3e57c4da8827.html,Unstrut-Hainich-Kreis,/karten/unstrut-hainich-kreis-agrarsubventionen_2021-landkreis_16064.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengera8432eadedbff07a88eb3e57c4da8827.html,"409.731,81 €"
"733.824,84",,Agrar-Genossenschaft Bonese eG – 29413 Dähre,/karten/agrarsubventionen_2021-empfaengerdf257dd5fc22f3f7dc86bf3cbb9c6591.html,Altmarkkreis Salzwedel,/karten/altmarkkreis_salzwedel-agrarsubventionen_2021-landkreis_15081.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerdf257dd5fc22f3f7dc86bf3cbb9c6591.html,"457.647,92 €"
"733.797,40",,"Ritter Kempski v. Rakoszyn, Clemens, Dr. – 06536 Südharz",/karten/agrarsubventionen_2021-empfaengerfbf5137fe31ea5be7786e4b5c3173356.html,"Mansfeld-Südharz, Landkreis","/karten/mansfeld-südharz,_landkreis-agrarsubventionen_2021-landkreis_15087.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerfbf5137fe31ea5be7786e4b5c3173356.html,"5.836,67 €"
"733.237,73",,Feldfrucht- und Tierproduktion GmbH Groß Ernsthof – 17509 Rubenow,/karten/agrarsubventionen_2021-empfaengerdbb9f2cae5e6ae65db0876fc5da84445.html,Landkreis Vorpommern-Greifswald,/karten/landkreis_vorpommern-greifswald-agrarsubventionen_2021-landkreis_13075.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerdbb9f2cae5e6ae65db0876fc5da84445.html,"456.549,98 €"
"732.575,02",,Ökodorf Brodowin Landwirtschafts GmbH & Co. KG – 16230 Chorin,/karten/agrarsubventionen_2021-empfaenger9799d4155f9eb7cf68989a79c8c933bd.html,"Barnim, Landkreis","/karten/barnim,_landkreis-agrarsubventionen_2021-landkreis_12060.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger9799d4155f9eb7cf68989a79c8c933bd.html,"248.482,26 €"
"731.919,24",,"AG Karow e. G. – 39307 Jerichow, Stadt",/karten/agrarsubventionen_2021-empfaengerca5adb0f65250cf7d28e1863ed268661.html,"Jerichower Land, Landkreis","/karten/jerichower_land,_landkreis-agrarsubventionen_2021-landkreis_15086.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerca5adb0f65250cf7d28e1863ed268661.html,"317.251,09 €"
"731.116,06",,Gemeinde Südharz – 06536 Südharz,/karten/agrarsubventionen_2021-empfaenger7eb37f9b717bd18484ada72d181b1c96.html,"Mansfeld-Südharz, Landkreis","/karten/mansfeld-südharz,_landkreis-agrarsubventionen_2021-landkreis_15087.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7eb37f9b717bd18484ada72d181b1c96.html,
